"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Nonomuraea sp. ATCC-39365",214.558940462825,30,3.05376689649095,9.82393254523543,8.88098892012373e-23,1.17289751897557e-20
"Serratia marcescens",14.3135800202099,30,3.06387933465058,9.7915083210747,1.22455330163603e-22,1.17289751897557e-20
"Bordetella pertussis",310.807422453798,30,3.06862998087423,9.77634976747937,1.42248433137591e-22,1.17289751897557e-20
"Fusarium verticillioides",157.605416698827,30,3.06933791313716,9.77409488593488,1.4545155944873e-22,1.17289751897557e-20
"Shigella boydii",93.3890071009347,30,3.07006458246123,9.77178140531147,1.48812126857895e-22,1.17289751897557e-20
"Isoptericola sp. AK164",10.4712569299244,-29.825139629332,3.05402506154829,-9.76584639230551,1.57788903898059e-22,1.17289751897557e-20
"Streptomyces sp. SJL17-4",16.1859977669276,30,3.08602753166598,9.72123537206572,2.44793300403862e-22,1.55968302828746e-20
"Streptomyces sp. enrichment culture",70.3195844008532,29.6440933168394,3.07083501785203,9.65343079146422,4.75381327825624e-22,2.65025090262786e-20
"Bordetella bronchialis",55.0426367981934,29.4466974035707,3.07101215704351,9.58859682011788,8.92910464653822e-22,4.42486741372894e-20
"Achromobacter aegrifaciens",47.8870940144282,29.1726482278309,3.07130208505478,9.49846267802425,2.13011644027897e-21,9.5003193236442e-20
"Ornithinimicrobium flavum",41.465453054639,28.7708090264191,3.07162978641241,9.36662652305592,7.48878177625503e-21,3.03636061109977e-19
"Bordetella genomosp. 13",39.0802721267173,28.7031309978313,3.07177080965961,9.34416425456298,9.26180141998422e-21,3.44230286109413e-19
"Bordetella petrii",34.1264348148799,28.39406838117,3.07210879234924,9.24253348445289,2.40728586925141e-20,8.2588422898933e-19
"Nocardioides sp. cx-173",31.0073520629823,28.1952106230847,3.07236174549674,9.1770478083876,4.43071601414681e-20,1.41149953022106e-18
"Achromobacter deleyi",30.6404011509943,28.0366565263957,3.0723971814245,9.12533597410627,7.15140917211743e-20,2.12635232717625e-18
"Nocardioides renjunii",26.0535147511449,27.8166234466892,3.07285364345511,9.05237498243236,1.39891965458171e-19,3.89948853714651e-18
"Methylocystis sp. S23",21.4666283512954,27.3807887184278,3.07345304680977,8.90880332362616,5.15863308662836e-19,1.28752737195347e-17
"Brasilonema sennae",21.6501038072894,27.3780530796116,3.07342428262182,8.90799660639645,5.19629881057453e-19,1.28752737195347e-17
"Streptomyces stoeckheimensis",259.849954457127,26.7987337894575,3.02187840213737,8.86823697819967,7.43130507989554e-19,1.70508381201821e-17
"Rothia dentocariosa",20.1823001593376,27.248158621179,3.07365667966405,8.86506251705288,7.64611574896058e-19,1.70508381201821e-17
"Fusarium graminearum",18.8979719673797,27.0340717550535,3.07388461620269,8.79475814171903,1.43356430588052e-18,3.04461752582243e-17
"Streptomyces xanthophaeus",17.7971192314159,26.9734391670192,3.0740929202548,8.77443846582994,1.71758762278066e-18,3.48201854436443e-17
"Streptomyces sp. NBC_00996",75.2614377050877,24.9905105269997,2.94907848173006,8.4740066030183,2.37093984566267e-17,4.59756161376327e-16
"Hydrogenophaga sp. A37",103.500861902156,25.2254151835913,2.99548804080315,8.42113700338055,3.72847948781012e-17,6.92875771484714e-16
"Yersinia similis",22.7781067089174,-25.2018853390247,3.03370022722196,-8.30730904552912,9.78967426593776e-17,1.7464778890433e-15
