"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMLUG00000000751",5120.71159405115,13.6107184118685,0.695646366670704,19.5655710487041,3.03979315192675e-85,4.0584278371374e-81
"ENSMLUG00000001371",1904.56366283603,7.54836653737933,0.408313676435597,18.4866855386117,2.64309053993767e-76,1.76439508993539e-72
"ENSMLUG00000000609",866.282069702178,9.32749525844129,0.522354334642536,17.8566437374821,2.56613242041177e-71,1.14201446483059e-67
"ENSMLUG00000002506",626.600790749251,-8.75879111813797,0.521685283347696,-16.7894157602685,2.9170225459615e-63,9.736292002783e-60
"ENSMLUG00000009374",3154.99904057011,-6.51625357883111,0.390948383855855,-16.6678105036845,2.24674813920408e-62,5.99926688130274e-59
"ENSMLUG00000015090",3417.4670872545,11.8035547784164,0.710464713711202,16.6138508368121,5.53248554774216e-62,1.23107024246509e-58
"ENSMLUG00000004434",4256.49195449712,15.1644656877091,0.914056352956844,16.5902962532389,8.19153062918787e-62,1.56235893471839e-58
"ENSMLUG00000001838",2343.35053701985,7.87410570072169,0.479556666835724,16.4195521515271,1.38585818480598e-60,2.31282407816808e-57
"ENSMLUG00000011254",3806.05522458003,10.7128585954128,0.658792990346229,16.2613427167503,1.85625010866635e-59,2.75364391120049e-56
"ENSMLUG00000013251",821.345685119554,8.61892999697245,0.536124162679306,16.0763692386087,3.73645445334914e-58,4.98854034066644e-55
"ENSMLUG00000009112",3150.76534137569,14.7304164926168,0.92315411789997,15.956616784775,2.56250697959647e-57,3.11018460769023e-54
"ENSMLUG00000011043",976.050545098057,11.4386612596294,0.720413128611646,15.8779189403081,9.01190650854439e-57,1.00264969829647e-53
"ENSMLUG00000025373",1592.40452770435,9.81542478317964,0.618430845624207,15.8714993804563,9.98272935749243e-57,1.02522630501447e-53
"ENSMLUG00000006016",57121.9506389417,13.6805585783866,0.865336179268634,15.8095303376188,2.67453216472775e-56,2.55054849509144e-53
"ENSMLUG00000009164",1361.83197362836,12.1110664016088,0.772214531145572,15.683551543173,1.95982818458403e-55,1.74437773949209e-52
"ENSMLUG00000013435",669.84300021265,-6.35386995318231,0.406837516578099,-15.6177090220798,5.51519560007719e-55,4.60208602853941e-52
"ENSMLUG00000014007",826.773867830987,-9.05477484698926,0.58612806235643,-15.4484581587615,7.72697602021249e-54,6.06840334387394e-51
"ENSMLUG00000009230",3443.81533880006,9.08988214782342,0.590781503899231,15.3861996149661,2.02586724322642e-53,1.5026307535731e-50
"ENSMLUG00000002243",840.615507136567,7.75976305290299,0.505113558531175,15.362412910609,2.92482984157437e-53,2.0552317481505e-50
"ENSMLUG00000002900",633.841171657677,7.59223239585968,0.495147801227481,15.3332648898741,4.58357288765822e-53,3.05976408115625e-50
"ENSMLUG00000005537",2283.77397884533,14.266218912507,0.932957642808323,15.291389724365,8.72678413948629e-53,5.54815690696578e-50
"ENSMLUG00000014647",4876.06388321784,-14.2319842181385,0.934506722820826,-15.2294080615911,2.2562501050149e-52,1.36923614327518e-49
"ENSMLUG00000007690",1861.55117792034,13.9711223504035,0.921223464522426,15.1658342285564,5.95375971926488e-52,3.45602808747415e-49
"ENSMLUG00000028875",934.914667743382,10.8962380512446,0.719169258761773,15.1511454619253,7.44574837520029e-52,4.14200777322079e-49
"ENSMLUG00000002104",704.316323413499,-9.14057475032825,0.603906195943233,-15.1357525584776,9.40980871236413e-52,5.02521424475094e-49
"ENSMLUG00000013986",1256.29527049904,9.08246911289654,0.601134813052663,15.1088722790388,1.41541365544415e-51,7.26814912070569e-49
"ENSMLUG00000009649",1349.59377110327,7.32466076326222,0.485533618279773,15.0857952724535,2.00840026412083e-51,9.93116738010265e-49
"ENSMLUG00000013803",1468.65893817332,-10.8380463057171,0.718625282484903,-15.0816379132122,2.13896099127656e-51,1.01990243551905e-48
"ENSMLUG00000006066",2773.51045989992,8.10269821815029,0.540092981607864,15.002413462268,7.07974397741871e-51,3.25936764974197e-48
"ENSMLUG00000012744",770.717131422272,5.09896189138432,0.342024446465027,14.9081796464678,2.91594292588154e-50,1.29769180011482e-47
"ENSMLUG00000000772",710.228097638376,-10.160158869316,0.683455242911361,-14.8658730395221,5.48945826250322e-50,2.36418571815098e-47
"ENSMLUG00000013642",559.480795998818,-6.38789350241736,0.433659369814598,-14.7302098076386,4.12423453150788e-49,1.72070797594255e-46
"ENSMLUG00000005542",1018.12181698424,13.5789429852529,0.922573075063265,14.7185554752091,4.90015895786323e-49,1.98248552261915e-46
"ENSMLUG00000012321",1805.95969799651,8.65247436432859,0.588898125868663,14.6926505353802,7.18475232982326e-49,2.8212831869256e-46
"ENSMLUG00000016760",2179.03106594594,-13.0957143246862,0.896807691139999,-14.60258922182,2.70378425113271e-48,1.03137781533922e-45
"ENSMLUG00000027238",1971.87576790229,13.1487830221257,0.909459712540976,14.4577960307761,2.23851580260827e-47,8.30178457795083e-45
"ENSMLUG00000003123",1257.55460501163,5.47591641684836,0.379078875037666,14.445322009316,2.68300437406883e-47,9.68129497248459e-45
"ENSMLUG00000001800",321.057448634839,-7.88431400789205,0.547516226726101,-14.4001467409225,5.16337745410766e-47,1.81411190499451e-44
"ENSMLUG00000016172",337.239002751483,-8.08744796600517,0.562148900617882,-14.3866650937428,6.27495023257716e-47,2.14812462961891e-44
"ENSMLUG00000016237",1037.27168229141,-9.3291466204518,0.649139521882334,-14.3715585108726,7.80547542606796e-47,2.5549039259477e-44
"ENSMLUG00000010986",177.803118972477,-7.19020195071521,0.500320203300883,-14.3712004897615,7.84593371012326e-47,2.5549039259477e-44
"ENSMLUG00000001678",1330.66972334229,11.7840272816257,0.822224243426828,14.3318898412832,1.38305110390375e-46,4.39645602100452e-44
"ENSMLUG00000017063",380.625899507254,9.59463617409753,0.671237988430425,14.2939409560727,2.38709533818739e-46,7.41165345584646e-44
"ENSMLUG00000011110",877.231922479459,13.3639427353196,0.940460323411723,14.2100016371121,7.94236521555597e-46,2.40996631802018e-43
"ENSMLUG00000009128",240.987789124276,7.30014405319092,0.513965785985504,14.2035603385413,8.70737393794151e-46,2.58338109878793e-43
"ENSMLUG00000008176",251.481131564869,6.27480227925656,0.444812833179549,14.1066125147602,3.45793731026131e-45,1.00362871802823e-42
"ENSMLUG00000027221",725.880421435857,11.766620561678,0.835843724947645,14.0775365184623,5.21978585636405e-45,1.48275236102801e-42
"ENSMLUG00000005051",293.378585176202,7.39725124439692,0.526290460090973,14.055453794694,7.13232525649441e-45,1.98382655207202e-42
"ENSMLUG00000017631",674.055094859761,11.6461397096817,0.830398884445302,14.0247535586,1.09993564937143e-44,2.99698792954245e-42
"ENSMLUG00000002562",395.154736111985,-8.66983687120933,0.62570503166983,-13.8561086013197,1.16838944215986e-43,3.11983348845525e-41
"ENSMLUG00000000793",106.878363994847,4.87092516913023,0.351933054197692,13.8404878741344,1.45217620873159e-43,3.80156952211283e-41
"ENSMLUG00000014106",562.682713529359,9.59350327236749,0.694449402379257,13.8145460842779,2.08262845014694e-43,5.34714854575227e-41
"ENSMLUG00000025532",2044.62049823131,9.95962435661759,0.724152857785198,13.7534834662931,4.85351564837649e-43,1.22262806455612e-40
"ENSMLUG00000007345",754.78613879358,-5.51603641779696,0.404038400351588,-13.6522578373664,1.95719137497934e-42,4.8071130182052e-40
"ENSMLUG00000003247",332.417473969497,-8.16220859528271,0.597902579927573,-13.6514022004579,1.98031020898274e-42,4.8071130182052e-40
"ENSMLUG00000008775",994.132982567505,-10.0540626736804,0.739001479802384,-13.604929013632,3.74331696165653e-42,8.92446870626364e-40
"ENSMLUG00000012128",1591.06304111044,13.7440886283524,1.01728700373648,13.5105320109965,1.35538423590431e-41,3.17469033922078e-39
"ENSMLUG00000009750",421.952973196195,6.70459115274382,0.498594444760434,13.4469832610455,3.20690851655247e-41,7.3819716559469e-39
"ENSMLUG00000013250",1287.30981226741,-12.7278535459055,0.960352153389639,-13.253319109018,4.3168085230013e-40,9.76842552382887e-38
"ENSMLUG00000001652",629.751862136712,-12.6651082723023,0.956648560030193,-13.2390397074372,5.22121392071903e-40,1.161807117592e-37
"ENSMLUG00000015598",430.52878587766,-4.64568360249653,0.351466022602639,-13.2180162625531,6.90613910364275e-40,1.51153874053663e-37
"ENSMLUG00000012367",799.882219356886,-10.8182132533794,0.826728658142625,-13.0855670077824,3.98177749679579e-39,8.5743082838259e-37
"ENSMLUG00000012834",116.412262806362,-6.05932769075809,0.464271252895026,-13.0512661573904,6.24999691092655e-39,1.32450331361556e-36
"ENSMLUG00000008659",1289.96014773154,12.1565690153091,0.934915484455419,13.0028534316021,1.17862100338614e-38,2.45871390878255e-36
"ENSMLUG00000013318",242.154459345951,-6.04269051789549,0.465257272390087,-12.9878475340179,1.43403684868207e-38,2.94551168719298e-36
"ENSMLUG00000030368",411.165002968679,8.05951478887186,0.62093653581908,12.979611158233,1.59689219377672e-38,3.23031934532015e-36
"ENSMLUG00000002751",289.987023680849,6.42591379526862,0.495451863529016,12.9698044720187,1.81492720002017e-38,3.6165810518611e-36
"ENSMLUG00000007214",824.401109347506,-13.0538284375935,1.00673866601083,-12.966451849236,1.8960601719386e-38,3.72269108169885e-36
"ENSMLUG00000009296",1693.18231055342,7.31275722307406,0.565403068374305,12.9337062922214,2.90471418586948e-38,5.62041146312224e-36
"ENSMLUG00000004097",370.012258749649,8.30033391843185,0.642464284760967,12.9195258247235,3.49287333104499e-38,6.66190740611167e-36
"ENSMLUG00000011767",149.942912815979,-5.7579648126072,0.445940344108328,-12.9119620789647,3.85355040962946e-38,7.24630303083985e-36
"ENSMLUG00000008385",597.749591790166,-4.82973200877625,0.374227645290829,-12.9058664413284,4.17097437080441e-38,7.73426094786245e-36
"ENSMLUG00000005928",499.280003499964,12.550550037906,0.975306554770565,12.8683130206773,6.78682971677203e-38,1.24124607600854e-35
"ENSMLUG00000005873",395.555191224742,12.2148876740286,0.950227974357206,12.8546917199438,8.09479255747361e-38,1.4604537220923e-35
"ENSMLUG00000012544",277.602625356236,5.3893649532535,0.420312551934927,12.8222793453189,1.23029816906095e-37,2.19009478068437e-35
"ENSMLUG00000025309",861.648403414747,11.4171880483856,0.891553394603491,12.8059498370967,1.51856226978985e-37,2.66767432420582e-35
"ENSMLUG00000006093",525.52769217592,9.26878188688362,0.726509425761908,12.7579650837472,2.81457868662249e-37,4.88018701884374e-35
"ENSMLUG00000004355",362.524410562825,9.51697499035004,0.748175545335043,12.7202433301776,4.56436598064307e-37,7.81267310353406e-35
"ENSMLUG00000013008",160.04742807722,8.30058429018522,0.653359540237687,12.7044663450778,5.58491057360266e-37,9.43849886938849e-35
"ENSMLUG00000028982",1347.75931973677,13.0845669478486,1.03122623634244,12.6883573038804,6.86097084236231e-37,1.14501027145474e-34
"ENSMLUG00000012697",118.49037179445,-5.05729085710186,0.399737710545679,-12.6515230454445,1.0972683667035e-36,1.80859629183437e-34
"ENSMLUG00000001070",576.535904199548,4.59269597568084,0.364422265839024,12.6026766369692,2.0409871340138e-36,3.32307551539246e-34
"ENSMLUG00000005688",289.703078845471,-11.5422605018526,0.915986325981354,-12.6009091778599,2.08724554370109e-36,3.35744762095823e-34
"ENSMLUG00000010117",185.0634438423,-6.52108391693601,0.517996038822565,-12.5890613599262,2.42540262730664e-36,3.8549464853775e-34
"ENSMLUG00000029761",384.622272054902,12.1751910227016,0.967681341058971,12.5818185244513,2.65838889107265e-36,4.17554706878952e-34
"ENSMLUG00000005968",397.873699780681,12.2231856698595,0.973362106236317,12.5576962484421,3.60682156600935e-36,5.59938078230126e-34
"ENSMLUG00000014650",440.022601535215,-12.1468411592575,0.967992984965358,-12.5484805653754,4.05210831718075e-36,6.21835610835404e-34
"ENSMLUG00000002571",282.703984755969,-11.5096304121477,0.918317143124079,-12.5333938262248,4.90192179944256e-36,7.43699522094974e-34
"ENSMLUG00000009339",502.599429330624,-10.6662090807022,0.859018630605527,-12.4167377757378,2.12032389951409e-35,3.18072408791154e-33
"ENSMLUG00000013422",293.328253973196,10.2357019855137,0.825069913154044,12.4058601850903,2.42890196620068e-35,3.60314112786059e-33
"ENSMLUG00000002685",288.741740769172,9.23724665068845,0.746206660691543,12.3789388882269,3.39805683281424e-35,4.9854348104289e-33
"ENSMLUG00000029547",453.689082370471,-12.1907650564291,0.992099475318696,-12.2878454829471,1.05274520218994e-34,1.52773926026499e-32
"ENSMLUG00000010723",300.466724807267,-11.594245233385,0.94431271408147,-12.277972180712,1.18942215757149e-34,1.70752421782118e-32
"ENSMLUG00000016411",197.431862412085,-8.21395428520221,0.669231652475544,-12.2737085952497,1.25376315592016e-34,1.78074381858405e-32
"ENSMLUG00000005341",612.022050876582,12.36543132245,1.00842584267153,12.2621126901027,1.44677962943141e-34,2.03325840342514e-32
"ENSMLUG00000009139",241.418345231033,7.42767995061545,0.607307324068146,12.2305127177784,2.13586204663646e-34,2.97040564423368e-32
"ENSMLUG00000008695",226.962692207149,10.9343433613657,0.894222843281168,12.2277611710795,2.20944524064724e-34,3.02835837337946e-32
"ENSMLUG00000023050",584.188869666204,11.2237227522933,0.917925637268396,12.2272679796736,2.22289806449844e-34,3.02835837337946e-32
"ENSMLUG00000016071",247.446118986968,11.5384812956035,0.943750395338027,12.2262002247646,2.25230273987737e-34,3.03742362425281e-32
"ENSMLUG00000012111",475.209024273283,-5.92236321174851,0.486182241329038,-12.1813647400181,3.90689047658472e-34,5.21608947528826e-32
"ENSMLUG00000010528",664.217904596563,-4.28798180898919,0.352525355900745,-12.163612452877,4.85626992425697e-34,6.41941185730246e-32
"ENSMLUG00000009014",278.285098778847,9.71079538320097,0.799335920634872,12.1485787545844,5.83714749037579e-34,7.64036824941247e-32
"ENSMLUG00000014762",300.800692731066,-8.69012755631054,0.715452373518203,-12.1463396837685,5.9991822129597e-34,7.77622152672086e-32
"ENSMLUG00000001115",225.756296480769,-6.08516003291107,0.501097296735129,-12.1436696477083,6.19825452561204e-34,7.95700924725445e-32
"ENSMLUG00000001923",490.77389112232,-10.2192321400211,0.842757894300367,-12.1259405686194,7.69713708916931e-34,9.78709307404756e-32
"ENSMLUG00000015607",853.188367440845,-6.25559101243898,0.516077519227036,-12.1214173828157,8.13401198232089e-34,1.02450182996195e-31
"ENSMLUG00000016464",539.963709034287,11.3594203029611,0.937796755254311,12.1128807914042,9.02671623978665e-34,1.12631484595693e-31
"ENSMLUG00000023070",281.735224197333,-11.5022795749019,0.950310426446244,-12.1037076462641,1.00946682091947e-33,1.24790662278665e-31
"ENSMLUG00000007012",267.233348250039,6.53700653086709,0.541436325464201,12.0734539287932,1.45880314215271e-33,1.78683309641108e-31
"ENSMLUG00000006051",575.795082785953,-10.5476284151356,0.874444453769177,-12.0620908162564,1.67476505368762e-33,2.03270802107122e-31
"ENSMLUG00000013664",381.455071953413,-11.0110266955125,0.913480492491315,-12.0539264779288,1.84926198199066e-33,2.22427898392408e-31
"ENSMLUG00000006895",684.005354802749,-12.3077591339754,1.02177654392743,-12.0454508445337,2.04952773513396e-33,2.44314685640835e-31
"ENSMLUG00000011373",884.908568813228,8.29198605895743,0.689288900355482,12.0297687293108,2.47854066872151e-33,2.92840676708858e-31
"ENSMLUG00000007022",177.504697748016,-7.11369609733874,0.591955964974493,-12.0172724294539,2.88332713205575e-33,3.37678074912951e-31
"ENSMLUG00000022759",209.567943696926,8.73673621137405,0.727917305944785,12.0023746379191,3.45246532643835e-33,4.00816213680681e-31
"ENSMLUG00000015923",374.620826315526,-11.9152544442285,0.993377719501284,-11.9946866235438,3.78848263336331e-33,4.3603475550029e-31
"ENSMLUG00000010756",409.244967949762,-10.6830443834945,0.891971805322995,-11.9768857263667,4.6963635745166e-33,5.35907265669838e-31
"ENSMLUG00000022592",1337.70370075591,13.9728691834645,1.16710053512325,11.9722926714184,4.96377650048891e-33,5.61621864898538e-31
"ENSMLUG00000010002",301.019704006619,-5.92907632311403,0.495343316561889,-11.9696302036877,5.1256561716396e-33,5.75064164265213e-31
"ENSMLUG00000017344",231.981319370381,11.4454732340523,0.956445298913568,11.9666783317909,5.31126652071301e-33,5.88791157609351e-31
"ENSMLUG00000009031",728.033028229853,13.094737996744,1.09430229103087,11.9662894833276,5.33620927801149e-33,5.88791157609351e-31
"ENSMLUG00000016805",555.620732748155,12.2260789881579,1.0235448612793,11.9448394014473,6.90836672723007e-33,7.56013148977448e-31
"ENSMLUG00000024537",633.076991901951,-6.70647531090792,0.562544376127269,-11.9216822627886,9.12472381798398e-33,9.90440550356944e-31
"ENSMLUG00000012339",179.827801978482,11.0772652315035,0.929252967077397,11.9206132495253,9.242569685431e-33,9.95141515082172e-31
"ENSMLUG00000007812",529.363817285333,12.6358179342563,1.06309562438692,11.8858714535142,1.40165508948951e-32,1.49707976798195e-30
"ENSMLUG00000028779",122.753548189343,-6.18405593996503,0.522104328718444,-11.8444831804869,2.2983081812957e-32,2.43529464511738e-30
"ENSMLUG00000009945",380.952620323105,-10.9756757534758,0.926942557245481,-11.8407291451708,2.4035419631944e-32,2.5267471457172e-30
"ENSMLUG00000015730",227.493128011788,6.79925470613907,0.576146756141866,11.8012548602545,3.84533930433048e-32,4.01086914469658e-30
"ENSMLUG00000011451",302.062914200337,-11.606561358627,0.986135079984046,-11.7697479728789,5.58912359809128e-32,5.78452629132687e-30
"ENSMLUG00000028357",166.28047680805,8.272179388228,0.703354101211203,11.7610452174559,6.19624357751228e-32,6.36354215410511e-30
"ENSMLUG00000008412",302.117173882347,-7.0909907687778,0.603050273109726,-11.7585400172559,6.38284501183512e-32,6.50514227122219e-30
"ENSMLUG00000016937",183.005264651791,-10.8790460431753,0.927322509783638,-11.7316747176919,8.77059889526166e-32,8.87092923110897e-30
"ENSMLUG00000029074",277.683417104962,10.80047853229,0.920683463646108,11.7309357219448,8.84751463540018e-32,8.88144119528029e-30
"ENSMLUG00000006257",278.332793294359,6.57943882052514,0.561141446669445,11.7250986530691,9.47905423869541e-32,9.44439202543451e-30
"ENSMLUG00000025448",178.90878145176,11.0701715704455,0.944997202593873,11.7145019477937,1.07420643054222e-31,1.0623503743829e-29
"ENSMLUG00000013596",186.37233494388,9.8556760282989,0.842076759679931,11.7040114395806,1.21567750400374e-31,1.19341987911426e-29
"ENSMLUG00000001110",180.926009585619,-7.24067998977285,0.619178998164423,-11.6940012681924,1.36786915788351e-31,1.33217040481205e-29
"ENSMLUG00000028303",353.649758179654,11.1519275073337,0.953691068535443,11.6934381323917,1.37697188123783e-31,1.33217040481205e-29
"ENSMLUG00000012916",332.55172038172,-10.7779385338993,0.923823563075891,-11.6666633810616,1.88679036601524e-31,1.81226893357334e-29
"ENSMLUG00000015061",279.178484811603,-5.20955312660131,0.447117451907646,-11.6514197877415,2.25667330108576e-31,2.15206037448543e-29
"ENSMLUG00000003782",190.090256263976,11.1572170528107,0.96017742721661,11.6199534966715,3.26313824968454e-31,3.08979849443534e-29
"ENSMLUG00000006985",202.262087561361,6.67980155057276,0.575022831875594,11.6165849080892,3.39435021703641e-31,3.19140632025726e-29
"ENSMLUG00000006298",252.076789706014,-10.8639482595565,0.935421616751046,-11.6139589517824,3.50025698291752e-31,3.2679672013239e-29
"ENSMLUG00000012071",390.418589209868,-5.6024198503362,0.482472730694196,-11.6118891160445,3.58604139966451e-31,3.32480824492506e-29
